imdbID,budget,revnue
tt0103706,0,0
tt0103707,0,0
tt0103710,0,0
tt0103732,0,0
tt0103741,0,0
tt0103743,0,0
tt0103749,0,0
tt0103751,0,0
tt0103754,0,0
tt0103761,0,0
tt0103775,NF,NF
tt0103778,0,0
tt0103785,0,0
tt0103787,0,0
tt0103790,0,0
tt0103793,0,0
tt0103796,0,0
tt0103800,0,0
tt0103802,0,0
tt0103806,0,0
tt0103816,0,0
tt0103831,0,0
tt0103835,0,0
tt0103837,0,0
tt0103841,0,0
tt0103858,0,0
tt0103864,0,0
tt0103867,0,0
tt0103878,0,0
tt0103881,0,0
tt0103897,0,0
tt0103912,0,0
tt0103913,0,0
tt0103926,0,0
tt0103927,0,0
tt0103932,0,0
tt0103934,0,0
tt0103935,0,0
tt0103936,0,0
tt0103943,0,0
tt0103948,0,0
tt0103954,0,0
tt0103955,0,0
tt0103961,0,0
tt0103967,0,0
tt0103968,0,0
tt0103969,3700000,0
tt0103970,0,0
tt0103971,0,0
tt0103974,0,0
tt0103977,130000,799674
tt0103984,0,0
tt0103991,0,0
tt0104001,NF,NF
tt0104003,0,0
tt0104008,0,0
tt0104014,0,0
tt0104016,NF,NF
tt0104019,310000,0
tt0104023,0,0
tt0104025,0,0
tt0104028,0,0
tt0104031,0,0
tt0104033,0,0
tt0104045,0,0
tt0104046,0,0
tt0104051,0,0
tt0104052,0,0
tt0104059,0,0
tt0104068,0,0
tt0104081,0,0
tt0104082,0,3142763
tt0104089,0,0
tt0104090,0,0
tt0104099,0,0
tt0104100,0,0
tt0104101,NF,NF
tt0104105,30000000,0
tt0104111,0,0
tt0104118,0,0
tt0104121,0,0
tt0104129,0,0
tt0104130,0,0
tt0104137,0,0
tt0104143,0,0
tt0104145,0,0
tt0104146,0,0
tt0104147,0,0
tt0104149,0,0
tt0104160,0,0
tt0104183,0,0
tt0104188,0,0
tt0104204,0,0
tt0104209,0,0
tt0104213,0,0
tt0104216,0,0
tt0104224,0,0
tt0104227,0,0
tt0104228,0,0
tt0104235,0,0
tt0104236,0,0
tt0104246,0,0
tt0104252,0,0
tt0104261,0,0
tt0104270,0,0
tt0104279,0,0
tt0104284,0,0
tt0104293,0,0
tt0104294,NF,NF
tt0104300,0,0
tt0104302,0,0
tt0104311,0,0
tt0104319,0,0
tt0104322,0,0
tt0104330,0,0
tt0104338,0,0
